,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
461,2-STORY 1945 & OLDER,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,South & West of Iowa State University,Adjacent to feeder street & Normal,Good,Excellent,1936,2007,Gable,Standard (Composite) Shingle,Wood Siding,Good,Good,Poured Contrete,Good (90-99 inches),Good,No Exposure,Average Living Quarters,350,Below Average Living Quarters,210,0,560,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,575,560,1135,1,0,3,1,Good,6,0,No Fireplace,Detached from home,1971,Rough Finished,2,576,Typical/Average,Typical/Average,Paved,256,0,0,0,0,Minimum Privacy,No Extra Feature,0,April 2009,Warranty Deed - Conventional,Normal Sale,155000,21.52777777777778,73
462,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,8281,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Average,1965,1965,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,553,Below Average Living Quarters,311,0,864,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,864,0,864,1,0,3,1,Average/Typical,5,1,Poor - Ben Franklin Stove,Detached from home,1965,Unfinished,1,360,Typical/Average,Typical/Average,Paved,0,0,236,0,0,Good Wood,No Extra Feature,0,December 2009,Warranty Deed - Conventional,Normal Sale,62383,7.5332689288733246,44
463,2-STORY 1945 & OLDER,Residential Low-Density,74,11988,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Inside Plot,Moderate Slope,Crawford,Normal,Above Average,Good,1934,1995,Hip,Standard (Composite) Shingle,Stucco,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,326,Unfinished,0,389,715,Gas forced warm air furnace,Fair,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),849,811,1660,1,1,3,1,Average/Typical,6,1,Good - Masonry Fireplace on the main level,Detached from home,1939,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,August 2008,Warranty Deed - Conventional,Normal Sale,188700,15.74074074074074,74
465,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,0,3072,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Bloomington Heights,Normal,Good,Average,2004,2004,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1375,1375,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1414,0,1414,2,0,2,1,Good,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2004,Finished,2,398,Typical/Average,Typical/Average,Paved,144,20,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,178740,58.18359375,2
466,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,10628,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Good,Average,1970,1970,Flat,Gravel & Tar,Plywood,Average/Typical,Good,Cinder Block,Good (90-99 inches),Good,Good Exposure,Good Living Quarters,778,Unfinished,0,499,1277,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1277,0,1277,1,0,2,1,Average/Typical,5,1,Poor - Ben Franklin Stove,Attached to the home,1970,Unfinished,2,526,Typical/Average,Typical/Average,Paved,0,0,0,0,176,Good Wood,No Extra Feature,0,April 2007,Warranty Deed - Conventional,Normal Sale,167000,15.71321038765525,37
467,2-STORY 1945 & OLDER,Residential Low-Density,79,9480,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Adjacent to arterial street & Normal,Average,Good,1942,1995,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,386,Unfinished,0,342,728,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,888,756,1644,1,1,3,1,Good,7,2,Good - Masonry Fireplace on the main level,Attached to the home,1942,Unfinished,1,312,Typical/Average,Typical/Average,Paved,168,0,0,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,146500,15.453586497890296,65
468,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11428,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1626,1626,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1634,0,1634,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,866,Typical/Average,Typical/Average,Paved,0,44,0,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,250000,21.876093804690235,1
469,2-STORY 1946 & NEWER,Residential Low-Density,76,9291,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer West,Within 200' of East-West Railroad & Normal,Above Average,Average,1993,1993,Gable,Standard (Composite) Shingle,Hard Board,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,426,Unfinished,0,406,832,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,832,878,1710,2,1,3,1,Good,7,0,No Fireplace,Attached to the home,1993,Rough Finished,2,506,Typical/Average,Typical/Average,Paved,144,70,0,0,0,No Fence,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,187000,20.127004628134753,15
470,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,6820,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Stone Brook,Normal,Very Good,Average,1985,1985,Gable,Standard (Composite) Shingle,Hard Board,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,368,Below Average Living Quarters,1120,0,1488,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1502,0,1502,1,1,1,1,Good,4,0,No Fireplace,Attached to the home,1985,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,54,0,0,140,No Fence,No Extra Feature,0,June 2010,Warranty Deed - Conventional,Normal Sale,212000,31.085043988269796,25
471,2-STORY 1946 & NEWER,Residential Low-Density,92,11952,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Adjacent to positive off-site feature & Normal,Good,Above Average,1977,1977,Mansard,Wood Shakes,Wood Shingles & Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,808,808,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1161,808,1969,2,1,3,1,Average/Typical,8,1,Good - Masonry Fireplace on the main level,Attached to the home,1977,Rough Finished,2,534,Typical/Average,Typical/Average,Paved,0,0,0,0,276,No Fence,No Extra Feature,0,November 2007,Warranty Deed - Conventional,Normal Sale,190000,15.896921017402946,30
472,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Residential Medium Density,35,3675,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,Normal,Above Average,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,459,Unfinished,0,88,547,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1072,0,1072,1,0,2,1,Average/Typical,5,0,No Fireplace,Basement Garage,2005,Rough Finished,2,525,Typical/Average,Typical/Average,Paved,0,28,0,0,0,No Fence,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,148000,40.27210884353742,3
473,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14977,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Very Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1350,Unfinished,0,626,1976,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1976,0,1976,2,0,2,1,Good,7,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2006,Rough Finished,3,908,Typical/Average,Typical/Average,Paved,250,63,0,0,0,No Fence,No Extra Feature,0,July 2007,Home just constructed and sold,Home was not completed when last assessed,440000,29.378380182947186,1
474,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,41,5330,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Stone Brook,Normal,Very Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Cement Board,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,1196,Unfinished,0,298,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1652,0,1652,2,0,2,1,Excellent,6,0,No Fireplace,Attached to the home,2000,Rough Finished,2,499,Typical/Average,Typical/Average,Paved,96,48,0,0,0,No Fence,No Extra Feature,0,August 2007,Warranty Deed - Conventional,Normal Sale,251000,47.091932457786115,7
475,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,8480,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer,Normal,Average,Above Average,1963,1963,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,630,Unfinished,0,340,970,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,970,0,970,1,0,2,1,Average/Typical,5,0,No Fireplace,Detached from home,1996,Unfinished,2,624,Typical/Average,Typical/Average,Paved,0,24,0,0,192,No Fence,No Extra Feature,0,July 2007,Warranty Deed - Conventional,Normal Sale,132500,15.625,44
476,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,13125,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Moderate Slope,College Creek,Normal,Above Average,Average,1997,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,994,Unfinished,0,484,1478,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1493,0,1493,2,0,3,1,Good,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1997,Finished,2,508,Typical/Average,Typical/Average,Paved,140,39,0,0,0,No Fence,No Extra Feature,0,April 2008,Warranty Deed - Conventional,Normal Sale,208900,15.916190476190476,11
477,2-STORY 1946 & NEWER,Residential Low-Density,105,13693,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Unfinished,0,Unfinished,0,2153,2153,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2069,574,2643,2,1,3,1,Excellent,9,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2006,Finished,3,694,Typical/Average,Typical/Average,Paved,414,84,0,0,0,No Fence,No Extra Feature,0,March 2007,Warranty Deed - Conventional,Normal Sale,380000,27.751405827795224,1
478,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,10637,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,Normal,Very Good,Average,2007,2008,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1288,Unfinished,0,417,1705,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1718,0,1718,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2007,Rough Finished,3,826,Typical/Average,Typical/Average,Paved,208,44,0,0,0,No Fence,No Extra Feature,0,September 2009,Warranty Deed - Conventional,Normal Sale,297000,27.921406411582215,2
479,1-STORY 1945 & OLDER,Residential Medium Density,50,5925,Paved,No Alley Access,Regular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Normal,Below Average,Good,1937,2000,Hip,Standard (Composite) Shingle,Stucco,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,168,Unfinished,0,739,907,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1131,0,1131,1,0,2,1,Average/Typical,7,0,No Fireplace,Detached from home,1995,Unfinished,2,672,Typical/Average,Typical/Average,Paved,0,72,0,0,0,Minimum Privacy,No Extra Feature,0,March 2007,Warranty Deed - Conventional,Allocation - two linked properties with separate deeds,89471,15.100590717299578,70
480,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,16033,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2004,2005,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1261,Unfinished,0,572,1833,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1850,0,1850,2,0,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Finished,3,772,Typical/Average,Typical/Average,Paved,519,112,0,0,0,No Fence,No Extra Feature,0,March 2006,Warranty Deed - Conventional,Normal Sale,326000,20.333063057444022,2
481,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,72,11846,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2003,2004,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1567,Unfinished,0,225,1792,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1792,0,1792,2,0,2,1,Excellent,6,1,Good - Masonry Fireplace on the main level,Attached to the home,2003,Finished,3,874,Typical/Average,Typical/Average,Paved,206,49,0,0,0,No Fence,No Extra Feature,0,August 2006,Warranty Deed - Conventional,Normal Sale,374000,31.57183859530643,3
482,2-STORY 1945 & OLDER,Residential Medium Density,50,2500,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Old Town,Normal,Good,Very Good,1915,2005,Gable,Standard (Composite) Shingle,Stucco,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,299,Unfinished,0,611,910,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,916,910,1826,1,1,4,1,Excellent,7,1,Good - Masonry Fireplace on the main level,Attached to the home,1915,Unfinished,1,164,Fair,Fair,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,155000,62.0,94
483,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,32,4500,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Mitchell,Normal,Above Average,Average,1998,1998,Hip,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,897,Unfinished,0,319,1216,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1216,0,1216,2,0,2,1,Average/Typical,5,0,No Fireplace,Attached to the home,1998,Unfinished,2,402,Typical/Average,Typical/Average,Paved,0,125,0,0,0,No Fence,No Extra Feature,0,May 2006,Warranty Deed - Conventional,Normal Sale,164000,36.44444444444444,8
484,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,7758,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer,Normal,Average,Good,1962,2001,Gable,Standard (Composite) Shingle,Hard Board & Plywood,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,588,Unfinished,0,411,999,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,999,0,999,1,0,3,1,Good,6,0,No Fireplace,Detached from home,1963,Unfinished,1,264,Typical/Average,Typical/Average,Paved,0,132,0,0,0,No Fence,No Extra Feature,0,March 2007,Warranty Deed - Conventional,Normal Sale,132500,17.079144109306522,45
485,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1950,2007,Gable,Standard (Composite) Shingle,Metal Siding,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,607,Unfinished,0,506,1113,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1113,0,1113,1,0,3,1,Good,5,1,Good - Masonry Fireplace on the main level,Attached to the home,1950,Unfinished,1,264,Typical/Average,Typical/Average,Paved,0,80,120,0,0,No Fence,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,147000,15.3125,59
486,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,10289,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1965,1965,Hip,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,836,Unfinished,0,237,1073,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1073,0,1073,1,1,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1965,Rough Finished,2,515,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,156000,15.161823306443775,42
487,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,12243,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Normal,Average,Above Average,1971,1971,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Average Living Quarters,998,Unfinished,0,486,1484,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1484,0,1484,2,0,3,1,Average/Typical,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1971,Unfinished,2,487,Typical/Average,Typical/Average,Paved,224,0,0,0,180,No Fence,No Extra Feature,0,February 2007,Warranty Deed - Conventional,Normal Sale,175000,14.29388221841052,36
488,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,60,10800,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Old Town,Normal,Average,Below Average,1900,1970,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Fair,Cinder Block,Fair (70-79 inches),Fair - dampness or some cracking or settling,No Exposure,Below Average Living Quarters,664,Unfinished,0,290,954,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),1766,648,2414,2,0,3,2,Average/Typical,10,1,Good - Masonry Fireplace on the main level,Attached to the home,1970,Unfinished,2,520,Typical/Average,Fair,Dirt/Gravel,142,0,0,0,0,No Fence,No Extra Feature,0,May 2006,Contract Low Down,Normal Sale,160000,14.814814814814815,106
489,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Residential Medium Density,21,1526,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Meadow Village,Normal,Below Average,Very Good,1970,2002,Gable,Standard (Composite) Shingle,Cement Board,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,515,Unfinished,0,115,630,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,630,0,630,1,0,1,1,Good,3,0,No Fireplace,Attached to the home,1970,Unfinished,1,286,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,May 2009,Warranty Deed - Conventional,Normal Sale,86000,56.3564875491481,39
490,2-STORY PUD - 1946 & NEWER,Residential Medium Density,0,2665,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Meadow Village,Normal,Average,Above Average,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,264,264,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,616,688,1304,1,1,3,1,Average/Typical,4,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),1976,Finished,1,336,Typical/Average,Typical/Average,Paved,141,24,0,0,0,No Fence,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,115000,43.151969981238274,32
491,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,79,9490,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Adjacent to arterial street & Normal,Above Average,Good,1941,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,403,Average Rec Room,165,238,806,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),958,620,1578,1,0,3,1,Fair,5,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1941,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,32,0,0,Minimum Privacy,No Extra Feature,0,August 2006,Warranty Deed - Conventional,Normal Sale,133000,14.014752370916755,65
492,2-STORY 1946 & NEWER,Residential Low-Density,105,15578,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Gilbert,Normal,Above Average,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,728,728,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,728,728,1456,2,1,3,1,Average/Typical,8,0,No Fireplace,Attached to the home,2006,Rough Finished,2,429,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,May 2006,Home just constructed and sold,Home was not completed when last assessed,172785,11.091603543458724,0
493,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7931,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Above Average,1960,1960,Gable,Standard (Composite) Shingle,Brick Face & Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,374,Low Quality,532,363,1269,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1269,0,1269,1,1,3,1,Average/Typical,6,1,Fair - Prefabricated Fireplace in the basement,Detached from home,1964,Unfinished,1,308,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,155000,19.54356323288362,48
494,1-STORY 1945 & OLDER,Residential Medium Density,50,5784,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to arterial street & Normal,Average,Very Good,1938,1996,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,190,190,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),886,0,886,1,0,2,1,Average/Typical,4,0,No Fireplace,Attached to the home,1938,Unfinished,1,273,Typical/Average,Typical/Average,Paved,144,20,80,0,0,No Fence,No Extra Feature,0,December 2009,Warranty Deed - Conventional,Normal Sale,91300,15.784923928077456,71
496,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12692,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge,Normal,Very Good,Average,1992,1993,Hip,Standard (Composite) Shingle,Brick Face,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1231,Unfinished,0,1969,3200,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,3228,0,3228,3,0,4,1,Good,10,1,Good - Masonry Fireplace on the main level,Attached to the home,1992,Rough Finished,2,546,Typical/Average,Typical/Average,Paved,264,75,291,0,0,No Fence,No Extra Feature,0,May 2007,Warranty Deed - Conventional,Normal Sale,430000,33.87960920264734,15
